Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100,0.550737939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,81.9,0.522568387,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,78.3,0.418451826,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Longest Common Prefix,72.3,0.44887893,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Roman to Integer,72.1,0.641538158,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Climbing Stairs,70.1,0.53343058,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Palindrome Number,67.7,0.586535979,https://leetcode.com/problems/palindrome-number,Math
EASY,Merge Two Sorted Lists,65.5,0.662895051,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,64.9,0.59450744,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Remove Element,54.1,0.594380162,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Find the Index of the First Occurrence in a String,53.5,0.444635972,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Sqrt(x),53.2,0.400270577,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Search Insert Position,50.5,0.483383674,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Plus One,49.7,0.470464516,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Add Binary,44.9,0.551921295,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Same Tree,43.9,0.644381734,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Length of Last Word,41.6,0.554460156,https://leetcode.com/problems/length-of-last-word,String
EASY,Remove Duplicates from Sorted List,41,0.543597475,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
EASY,Binary Tree Inorder Traversal,41,0.780095222,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
HARD,Trapping Rain Water,85.6,0.642875458,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,74.8,0.429393696,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Merge k Sorted Lists,68,0.557952729,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Largest Rectangle in Histogram,63.9,0.465994307,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,First Missing Positive,58.7,0.406343023,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Reverse Nodes in k-Group,56.3,0.620462453,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
HARD,Regular Expression Matching,55.8,0.289718641,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,N-Queens,52.8,0.716691048,https://leetcode.com/problems/n-queens,"Array, Backtracking"
HARD,Minimum Window Substring,51.9,0.446649718,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Longest Valid Parentheses,49.3,0.356944642,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Wildcard Matching,42.8,0.293644876,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
HARD,Sudoku Solver,41,0.636723718,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Text Justification,37.5,0.470932966,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Permutation Sequence,34.1,0.491721092,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
HARD,Maximal Rectangle,32.1,0.528877139,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
HARD,Substring with Concatenation of All Words,24.4,0.32792399,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
HARD,Valid Number,16.5,0.211076121,https://leetcode.com/problems/valid-number,String
HARD,Scramble String,13.9,0.416724486,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
HARD,N-Queens II,5,0.760118362,https://leetcode.com/problems/n-queens-ii,Backtracking
MEDIUM,Longest Substring Without Repeating Characters,82.3,0.363266813,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,78.7,0.352983517,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Add Two Numbers,78.2,0.454396508,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Group Anagrams,78,0.703369908,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,3Sum,77,0.364230631,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,75.3,0.571734996,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Merge Intervals,73.9,0.48806484,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,70.7,0.517336903,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
